model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 A Class,2019,18480,Automatic,18447,Diesel,145,65.7,1.5
 A Class,2019,22480,Automatic,14469,Diesel,145,67.3,1.5
 C Class,2019,25980,Automatic,12285,Petrol,145,45.6,1.5
 GLC Class,2019,30980,Automatic,13650,Diesel,145,41.5,2.1
 E Class,2019,24480,Automatic,12065,Diesel,145,72.4,2
 C Class,2019,24980,Automatic,11589,Petrol,145,45.6,1.5
 A Class,2019,18480,Automatic,20973,Diesel,145,65.7,1.5
 A Class,2015,15481,Automatic,33000,Diesel,20,64.2,2.1
 GLC Class,2016,27981,Automatic,7917,Diesel,125,56.5,2.1
 GLA Class,2016,16591,Automatic,48808,Diesel,125,56.5,2.1
 E Class,2016,18481,Automatic,42752,Diesel,20,72.4,2
 A Class,2018,21526,Automatic,11716,Petrol,150,53.3,1.3
 A Class,2017,17192,Automatic,31611,Diesel,20,74.3,1.5
 GLA Class,2017,23981,Automatic,7395,Diesel,150,56.5,2.1
 GLE Class,2018,34981,Automatic,16890,Diesel,150,37.7,3
 C Class,2017,34981,Automatic,22056,Petrol,150,35.3,3
 GLC Class,2017,24481,Automatic,40058,Diesel,125,56.5,2.1
 A Class,2017,18480,Manual,15071,Diesel,145,80.7,1.5
 SLK Class,2016,16980,Automatic,28852,Diesel,30,70.6,2
 A Class,2017,15280,Manual,24767,Diesel,145,65.7,2.1
 E Class,2016,17480,Automatic,42112,Diesel,125,58.9,2.1
 GLE Class,2016,29000,Automatic,47956,Diesel,260,42.8,3
 CLS Class,2018,33980,Automatic,5203,Diesel,145,48.7,2.9
 GLA Class,2016,19000,Automatic,31348,Diesel,125,56.5,2.1
 C Class,2015,14000,Manual,43927,Diesel,20,68.9,2.1
 GLC Class,2017,26000,Automatic,28773,Diesel,145,56.5,2.1
 B Class,2018,15980,Manual,679,Diesel,145,68.9,1.5
 M Class,2014,17500,Automatic,60500,Diesel,200,46.3,2.1
 A Class,2016,13995,Automatic,66000,Diesel,20,68.9,2.1
 A Class,2016,17250,Automatic,14000,Petrol,125,52.3,1.6
 A Class,2014,11250,Automatic,58500,Diesel,30,65.7,1.5
 CL Class,2016,16120,Manual,41115,Diesel,20,67.3,2.1
 A Class,2016,15096,Manual,40576,Diesel,30,62.8,2.1
 CL Class,2015,19891,Automatic,15061,Petrol,205,42.2,2
 C Class,2017,13610,Manual,32783,Petrol,125,53.3,2
 B Class,2017,12699,Automatic,31633,Diesel,150,70.6,1.5
 E Class,2018,19800,Automatic,33080,Diesel,145,72.4,2
 V Class,2019,20691,Automatic,18398,Diesel,150,48.7,2.1
 V Class,2018,19346,Manual,32095,Diesel,150,46.3,2.1
 V Class,2019,20391,Automatic,18552,Diesel,150,48.7,2.1
 X Class,2019,22995,Automatic,8974,Diesel,265,35.8,2.3
 C Class,2017,18995,Automatic,40400,Hybrid,0,134.5,2
 C Class,2017,16995,Automatic,24844,Diesel,30,65.7,1.6
 E Class,2013,9550,Automatic,69124,Diesel,125,58.9,2.1
 GLC Class,2017,23242,Automatic,52214,Diesel,125,56.5,2.1
 GLC Class,2017,23242,Automatic,52214,Diesel,125,56.5,2.1
 SL CLASS,2017,21500,Automatic,16000,Petrol,145,47.1,2
 GLC Class,2019,35980,Automatic,16,Diesel,145,44.8,2
 A Class,2020,23980,Automatic,16,Diesel,145,56.5,2
 A Class,2020,24980,Manual,16,Petrol,145,45.6,1.3
 C Class,2020,33980,Automatic,16,Diesel,145,51.4,2
 A Class,2019,23980,Automatic,9,Diesel,145,65.7,1.5
 A Class,2019,24480,Automatic,9,Diesel,145,67.3,1.5
 A Class,2019,23980,Automatic,9,Petrol,145,28.5,1.3
 GLE Class,2018,46980,Automatic,6948,Diesel,145,36.7,3
 A Class,2017,31980,Automatic,28210,Petrol,145,40.9,2
 GLC Class,2017,30980,Automatic,23999,Diesel,145,56.5,2.1
 C Class,2020,29980,Automatic,9,Petrol,150,46.3,1.5
 CL Class,2019,54980,Automatic,9,Petrol,150,33.2,2
 A Class,2019,31980,Automatic,4309,Petrol,145,35.8,2
 A Class,2020,26980,Automatic,9,Petrol,145,53.3,1.3
 E Class,2017,24480,Automatic,22469,Diesel,145,51.4,3
 C Class,2015,13500,Automatic,37020,Diesel,30,65.7,1.6
 B Class,2019,21994,Automatic,7068,Diesel,150,60.1,1.5
 B Class,2019,25980,Automatic,16,Diesel,145,55.4,2
 C Class,2019,29980,Automatic,5428,Diesel,145,56.5,2
 GLA Class,2015,18980,Automatic,35585,Diesel,125,55.4,2.1
 C Class,2014,16964,Automatic,20281,Diesel,30,64.2,2.1
 A Class,2019,26980,Automatic,16,Petrol,145,28.5,2
 A Class,2019,22480,Automatic,16,Petrol,145,53.3,1.3
 A Class,2019,22980,Automatic,16,Diesel,145,56.5,2
 A Class,2019,23979,Automatic,16,Diesel,145,56.5,2
 A Class,2019,24980,Manual,16,Petrol,145,47.1,1.3
 GLC Class,2019,30980,Automatic,3999,Diesel,145,47.9,2
 E Class,2019,35980,Automatic,9,Diesel,145,45.6,2
 C Class,2019,35980,Automatic,9,Diesel,145,57.7,2
 E Class,2020,36980,Automatic,9,Diesel,145,45.6,2
 C Class,2019,31980,Automatic,9,Diesel,145,61.4,2
 GLA Class,2015,15694,Automatic,28541,Diesel,145,55.4,2.1
 A Class,2016,17298,Manual,31879,Petrol,200,41.5,2
 GLA Class,2015,17298,Automatic,28543,Diesel,125,55.4,2.1
 A Class,2019,18991,Automatic,18576,Diesel,150,65.7,1.5
 A Class,2014,13490,Automatic,41136,Diesel,20,64.2,2.1
 A Class,2017,16249,Automatic,32396,Diesel,20,68.9,2.1
 C Class,2018,22680,Automatic,20039,Diesel,145,67.3,2.1
 A Class,2014,11995,Automatic,35214,Petrol,125,52.3,1.6
 X Class,2019,24895,Automatic,12402,Diesel,260,35.8,2.3
 B Class,2018,19980,Automatic,3945,Petrol,145,50.4,1.6
 A Class,2019,24980,Automatic,9,Petrol,145,53.3,1.3
 A Class,2019,25480,Automatic,16,Diesel,145,65.7,1.5
 A Class,2019,25480,Automatic,16,Petrol,145,28.5,1.3
 A Class,2020,26980,Automatic,9,Diesel,145,56.5,2
 A Class,2020,26980,Automatic,9,Diesel,145,56.5,2
 A Class,2018,22980,Automatic,5999,Diesel,145,65.7,1.5
 GLC Class,2019,39980,Automatic,3999,Diesel,145,40.9,2
 C Class,2019,24780,Automatic,13539,Diesel,145,61.4,2
 C Class,2019,26780,Automatic,10340,Diesel,145,61.4,2
 C Class,2019,20480,Automatic,14620,Petrol,145,46.3,1.5
 E Class,2019,25980,Automatic,11116,Diesel,145,72.4,2
 GLA Class,2018,25980,Automatic,9452,Diesel,145,56.5,2.1
 E Class,2016,17980,Automatic,49096,Diesel,145,54.3,3
 E Class,2019,34980,Automatic,3917,Diesel,145,53.3,2
 CL Class,2018,21980,Automatic,24045,Diesel,145,67.3,2.1
 C Class,2019,25480,Automatic,12016,Petrol,145,46.3,1.5
 A Class,2020,24980,Manual,16,Petrol,145,28.5,1.3
 C Class,2019,38500,Automatic,3999,Petrol,145,30.4,3
 GLC Class,2017,29480,Automatic,27552,Diesel,145,56.5,2.1
 C Class,2019,31480,Automatic,16,Diesel,145,51.4,2
 GLE Class,2020,59980,Automatic,14,Petrol,145,29.5,3
 C Class,2020,22980,Manual,16,Petrol,145,47.1,1.6
 C Class,2020,31980,Automatic,16,Diesel,145,64.2,2
 C Class,2020,31980,Automatic,16,Diesel,145,64.2,2
 GLA Class,2020,27980,Automatic,16,Petrol,145,35.8,1.6
 GLA Class,2020,27980,Automatic,16,Petrol,145,35.8,1.6
 GLA Class,2020,27980,Automatic,16,Petrol,145,35.8,1.6
 C Class,2019,29980,Automatic,16,Diesel,145,60.1,1.6
 C Class,2020,32980,Automatic,16,Diesel,145,61.4,2
 GLE Class,2020,62980,Automatic,49,Diesel,145,32.5,2.9
 C Class,2020,33980,Automatic,16,Diesel,145,61.4,2
 SL CLASS,2020,33980,Automatic,382,Petrol,145,36.7,2
 GLB Class,2020,39980,Automatic,349,Diesel,145,46.3,2
 GLE Class,2019,49980,Automatic,2844,Diesel,145,36.7,2
 C Class,2019,45980,Automatic,4504,Petrol,145,29.7,3
 GLC Class,2020,49980,Automatic,3999,Petrol,145,26.4,3
 GLC Class,2020,49980,Automatic,4001,Petrol,145,26.4,3
 S Class,2020,64980,Automatic,3999,Diesel,145,40.4,3
 GLA Class,2016,17480,Automatic,21011,Diesel,125,56.6,2.1
 A Class,2019,23980,Automatic,16,Diesel,145,65.7,1.5
 C Class,2019,29980,Automatic,16,Petrol,145,46.3,1.5
 A Class,2019,26980,Automatic,16,Petrol,145,28.5,2
 A Class,2019,25480,Automatic,16,Diesel,145,56.5,2
 A Class,2019,26980,Automatic,16,Petrol,145,28.5,2
 A Class,2019,26980,Automatic,16,Petrol,145,28.5,2
 GLC Class,2020,39980,Automatic,2599,Petrol,145,31.7,2
 GLC Class,2020,39980,Automatic,3999,Petrol,145,32.1,2
 E Class,2019,25780,Automatic,14832,Diesel,145,72.4,2
 A Class,2019,23480,Automatic,10191,Diesel,145,67.3,1.5
 E Class,2017,22980,Automatic,20425,Diesel,145,61.4,2
 GLA Class,2018,19480,Manual,10637,Diesel,145,67.3,2.1
 E Class,2019,27980,Automatic,14479,Diesel,145,61.4,2
 GLC Class,2019,30980,Automatic,10217,Diesel,145,56.5,2.1
 SLK Class,2016,16480,Automatic,36363,Diesel,30,70.6,2
 C Class,2020,35980,Automatic,9,Diesel,145,55.4,2
 E Class,2020,36980,Automatic,16,Diesel,145,70.6,2
 A Class,2020,26980,Manual,16,Petrol,145,44.8,1.3
 A Class,2020,26980,Manual,16,Petrol,145,44.1,1.3
 A Class,2020,23980,Manual,16,Petrol,145,47.1,1.3
 C Class,2019,45980,Automatic,2010,Petrol,145,29.7,3
 GLE Class,2020,48980,Automatic,3999,Diesel,145,36.7,2
 GLC Class,2020,38980,Automatic,3999,Diesel,145,40.9,2
 GLC Class,2020,47980,Automatic,3999,Petrol,145,27.4,3
 C Class,2019,20980,Automatic,15933,Petrol,145,44.1,1.5
 GLC Class,2019,30980,Automatic,5002,Diesel,145,44.8,2
 GLA Class,2019,23780,Automatic,12580,Diesel,145,67.3,2.1
 A Class,2015,13680,Manual,45376,Diesel,20,72.4,1.5
 A Class,2019,23980,Automatic,2555,Petrol,145,47.9,1.3
 C Class,2019,26980,Automatic,8072,Diesel,145,61.4,2
 E Class,2019,25780,Automatic,14259,Diesel,145,72.4,2
 E Class,2019,28980,Automatic,3449,Diesel,145,61.4,2
 GLA Class,2019,23480,Automatic,12741,Diesel,145,67.3,2.1
 GLA Class,2019,23980,Automatic,15012,Diesel,145,67.3,2.1
 C Class,2019,20480,Automatic,6459,Petrol,145,46.3,1.5
 E Class,2019,24780,Automatic,11852,Diesel,145,72.4,2
 C Class,2019,27980,Automatic,7460,Diesel,145,56.5,2
 C Class,2019,29480,Automatic,7494,Diesel,145,56.5,2
 C Class,2019,28980,Automatic,3695,Diesel,145,56.5,2
 C Class,2019,19980,Automatic,14269,Petrol,145,46.3,1.5
 E Class,2019,26980,Automatic,1506,Diesel,145,67.3,2
 A Class,2019,20280,Automatic,13191,Diesel,145,65.7,1.5
 A Class,2020,27980,Automatic,16,Diesel,145,56.5,2
 A Class,2020,49980,Automatic,16,Petrol,145,32.8,2
 A Class,2020,24480,Manual,16,Petrol,145,47.1,1.3
 C Class,2020,32480,Automatic,16,Diesel,145,64.2,2
 A Class,2019,20780,Automatic,8043,Diesel,145,65.7,1.5
 E Class,2019,25780,Automatic,13319,Diesel,145,72.4,2
 E Class,2019,25780,Automatic,14784,Diesel,145,72.4,2
 E Class,2019,26980,Automatic,13278,Diesel,145,67.3,2
 M Class,2013,16991,Automatic,56979,Diesel,200,44.8,2.1
 E Class,2019,24780,Automatic,2000,Diesel,145,72.4,2
 E Class,2019,24780,Automatic,2000,Diesel,145,72.4,2
 GLA Class,2020,25480,Automatic,16,Petrol,145,37.2,1.6
 GLE Class,2016,34480,Automatic,35879,Diesel,300,39.2,3
 GLA Class,2016,16980,Automatic,38096,Diesel,20,64.2,2.1
 GLA Class,2020,24980,Automatic,16,Petrol,145,37.2,1.6
 C Class,2020,31480,Automatic,9,Diesel,145,64.2,2
 GLE Class,2019,53980,Automatic,11,Diesel,145,32.8,2.9
 GLC Class,2018,27480,Automatic,7851,Diesel,145,41.5,2.1
 GLE Class,2015,26480,Automatic,29196,Diesel,200,47.9,2.1
 E Class,2017,20980,Automatic,15843,Diesel,145,56.5,2.1
 C Class,2019,30980,Automatic,4957,Diesel,145,57.7,2
 E Class,2017,23480,Automatic,23997,Diesel,145,65.7,2
 E Class,2017,24980,Automatic,19893,Diesel,145,54.3,3
 C Class,2016,18480,Automatic,14996,Diesel,20,64.2,2.1
 C Class,2016,15480,Manual,36069,Diesel,20,68.9,2.1
 E Class,2019,34480,Automatic,6144,Diesel,145,57.7,2
 GLB Class,2020,38980,Automatic,16,Diesel,145,44.8,2
 E Class,2019,25780,Automatic,11082,Diesel,145,72.4,2
 E Class,2019,24780,Automatic,14828,Diesel,145,72.4,2
 E Class,2019,24780,Automatic,14648,Diesel,145,72.4,2
 E Class,2019,24780,Automatic,13954,Diesel,145,72.4,2
 A Class,2019,20480,Automatic,9411,Diesel,145,65.7,1.5
 E Class,2019,26980,Automatic,17556,Diesel,145,67.3,2
 E Class,2019,26980,Automatic,14105,Diesel,145,67.3,2
 GLE Class,2016,33480,Automatic,40129,Diesel,300,39.2,3
 GLC Class,2016,27480,Automatic,35782,Diesel,125,56.5,2.1
 C Class,2017,24880,Automatic,14843,Diesel,145,54.3,2.1
 E Class,2016,19480,Automatic,19448,Diesel,125,58.9,2.1
 E Class,2017,18480,Automatic,44316,Diesel,20,72.4,2
 GLC Class,2016,26780,Automatic,33294,Diesel,125,56.5,2.1
 S Class,2017,46980,Automatic,13112,Petrol,145,40.9,3
 GLC Class,2016,29480,Automatic,15772,Diesel,145,56.5,2.1
 A Class,2018,21480,Automatic,10048,Diesel,145,67.3,1.5
 GLE Class,2015,26680,Automatic,30155,Diesel,260,42.8,3
 C Class,2019,30980,Automatic,4288,Diesel,145,54.3,1.6
 C Class,2019,35980,Automatic,1844,Diesel,145,61.4,2
 C Class,2019,32980,Automatic,16,Petrol,145,46.3,1.5
 C Class,2019,36980,Automatic,9,Diesel,145,61.4,2
 C Class,2019,29480,Automatic,3999,Diesel,145,54.3,1.6
 GLA Class,2016,19380,Automatic,23979,Diesel,125,56.5,2.1
 GLC Class,2019,37980,Automatic,16,Diesel,145,40.9,2
 E Class,2019,46980,Automatic,9,Diesel,145,47.1,3
 C Class,2019,27000,Automatic,3689,Diesel,145,60.1,1.6
 E Class,2019,35980,Automatic,9,Diesel,145,45.6,2
 C Class,2016,20500,Automatic,17410,Diesel,30,61.4,2.1
 E Class,2019,34980,Automatic,4196,Diesel,145,70.6,2
 C Class,2019,67980,Automatic,3456,Petrol,145,28,4
 A Class,2019,24480,Automatic,16,Diesel,145,67.3,1.5
 C Class,2019,31980,Automatic,9,Petrol,145,46.3,1.5
 A Class,2019,22980,Automatic,9,Diesel,145,65.7,1.5
 GLE Class,2019,49980,Automatic,23479,Diesel,145,32.8,2.9
 C Class,2019,30980,Automatic,16,Diesel,145,61.4,2
 GLC Class,2020,33980,Automatic,16,Diesel,145,44.8,2
 E Class,2017,23480,Automatic,18444,Diesel,145,65.7,2
 E Class,2017,22480,Automatic,24723,Diesel,145,65.7,2
 C Class,2019,24980,Automatic,6784,Petrol,145,45.6,1.5
 C Class,2019,24980,Automatic,5453,Petrol,145,45.6,1.5
 C Class,2019,26500,Automatic,3341,Petrol,145,45.6,1.5
 C Class,2019,24000,Automatic,5207,Petrol,145,44.1,1.5
 GLE Class,2017,30980,Automatic,17722,Diesel,260,42.8,3
 C Class,2015,16480,Automatic,41349,Diesel,30,62.8,2.1
 GLA Class,2017,18780,Manual,36640,Diesel,145,64.2,2.1
 C Class,2017,19980,Automatic,16624,Diesel,145,64.2,2.1
 E Class,2019,26980,Automatic,15180,Diesel,145,67.3,2
 E Class,2019,25780,Automatic,9853,Diesel,145,72.4,2
 C Class,2017,17980,Automatic,32259,Diesel,30,64.2,2.1
 E Class,2018,32480,Automatic,9679,Diesel,145,57.7,2
 C Class,2019,28480,Automatic,4665,Petrol,145,44.1,2
 B Class,2019,27480,Automatic,7586,Diesel,145,54.3,2
 SLK Class,2015,16480,Automatic,27877,Diesel,30,70.6,2
 GLC Class,2016,25980,Automatic,37876,Diesel,125,56.5,2.1
 SL CLASS,2016,19480,Automatic,38303,Petrol,145,47.9,2
 GLC Class,2020,43980,Automatic,16,Diesel,145,40.9,2
 C Class,2019,20980,Automatic,11412,Diesel,145,61.4,2
 GLA Class,2016,19980,Automatic,32465,Diesel,125,56.5,2.1
 C Class,2019,19980,Automatic,15057,Diesel,145,64.2,2.1
 A Class,2018,23780,Automatic,7939,Petrol,145,53.3,1.3
 C Class,2018,29480,Automatic,8228,Diesel,145,57.7,2
 GLA Class,2018,25480,Automatic,12695,Diesel,145,56.5,2.1
 GLA Class,2018,25480,Automatic,11102,Diesel,145,56.5,2.1
 GLA Class,2018,25480,Automatic,11561,Diesel,145,56.5,2.1
 GLA Class,2018,25480,Automatic,17123,Diesel,145,56.5,2.1
 C Class,2017,45480,Automatic,11018,Petrol,145,32.8,4
 C Class,2020,32980,Automatic,9,Diesel,145,61.4,2
 E Class,2020,39980,Automatic,1096,Diesel,145,57.7,2
 C Class,2019,36980,Automatic,16,Diesel,145,61.4,2
 C Class,2019,36980,Automatic,16,Diesel,145,61.4,2
 C Class,2016,20780,Automatic,31246,Diesel,20,68.9,2.1
 E Class,2018,23480,Automatic,10729,Diesel,145,61.4,2
 GLA Class,2016,20480,Automatic,19294,Diesel,125,56.5,2.1
 GLC Class,2018,26980,Automatic,10266,Petrol,145,37.2,2
 E Class,2017,22480,Automatic,40239,Diesel,30,65.7,2
 GLE Class,2016,35980,Automatic,39056,Diesel,300,39.2,3
 GLE Class,2019,57980,Automatic,3999,Petrol,145,30.1,3
 C Class,2019,33980,Automatic,9,Diesel,145,57.7,2
 C Class,2019,31980,Automatic,9,Diesel,145,64.2,2
 M Class,2015,23480,Automatic,46049,Diesel,300,39.2,3
 C Class,2019,27500,Automatic,5866,Petrol,145,46.3,1.5
 C Class,2019,26000,Automatic,9180,Diesel,145,64.2,2
 GLE Class,2017,39980,Automatic,23321,Diesel,145,39.2,3
 C Class,2019,31980,Automatic,16,Diesel,145,61.4,2
 A Class,2019,20480,Automatic,10859,Diesel,145,65.7,1.5
 CL Class,2019,26980,Automatic,13947,Diesel,145,51.4,2.2
 CL Class,2019,26980,Automatic,12790,Diesel,145,51.4,2.2
 B Class,2018,20000,Automatic,9723,Diesel,145,68.9,2.1
 E Class,2018,30980,Automatic,6951,Diesel,145,70.6,2
 E Class,2018,31480,Automatic,11958,Diesel,145,70.6,2
 E Class,2018,30980,Automatic,7578,Diesel,145,57.7,2
 B Class,2019,22500,Automatic,13491,Petrol,145,45.6,1.3
 GLS Class,2019,47980,Automatic,11584,Diesel,145,37.2,3
 GLC Class,2019,29480,Automatic,11495,Diesel,145,56.5,2.1
 E Class,2019,27980,Automatic,3823,Petrol,145,39.8,2
 A Class,2019,19980,Automatic,14430,Diesel,145,65.7,1.5
 A Class,2019,22980,Automatic,14814,Diesel,145,67.3,1.5
 C Class,2019,29980,Automatic,9227,Diesel,145,57.7,2
 A Class,2019,20980,Automatic,8655,Diesel,145,68.9,1.5
 E Class,2017,19980,Automatic,38193,Diesel,145,72.4,2
 CLS Class,2017,21480,Automatic,30427,Diesel,145,57.7,2.1
 C Class,2017,17280,Automatic,42294,Diesel,145,64.2,2.1
 CLS Class,2018,34480,Automatic,16432,Diesel,145,48.7,2.9
 C Class,2019,27980,Automatic,14742,Diesel,145,64.2,2
 C Class,2019,28980,Automatic,10696,Petrol,145,44.1,1.5
 C Class,2019,20980,Automatic,14208,Petrol,145,44.1,1.5
 C Class,2019,20980,Automatic,14694,Petrol,145,44.1,1.5
 C Class,2019,20980,Automatic,13137,Petrol,145,44.1,1.5
 GLE Class,2018,32480,Automatic,14597,Diesel,145,42.8,3
 E Class,2019,32480,Automatic,8939,Diesel,145,70.6,2
 GLC Class,2019,31480,Automatic,12365,Diesel,145,42.2,2.1
 GLC Class,2019,30480,Automatic,9736,Diesel,145,42.2,2.1
 C Class,2018,25480,Automatic,9830,Petrol,145,46.3,1.5
 GLE Class,2017,29480,Automatic,27252,Diesel,145,42.8,3
 C Class,2019,29480,Automatic,11064,Diesel,145,56.5,2
 B Class,2019,22480,Automatic,14791,Petrol,145,45.6,1.3
 C Class,2019,27000,Automatic,10368,Diesel,145,61.4,2
 GLC Class,2020,41980,Automatic,1120,Diesel,145,40.9,2
 E Class,2019,25780,Automatic,10171,Diesel,145,72.4,2
 E Class,2020,44980,Automatic,9,Diesel,145,42.8,3
 C Class,2017,15980,Manual,34692,Diesel,20,68.9,2.1
 A Class,2019,25980,Automatic,200,Petrol,145,53.3,1.3
 GLC Class,2020,62480,Automatic,3999,Petrol,145,22.4,4
 GLC Class,2019,37980,Automatic,3999,Diesel,145,40.9,2
 GLC Class,2020,39980,Automatic,3999,Petrol,145,32.1,2
 CL Class,2019,26980,Automatic,3730,Petrol,145,44.1,1.3
 E Class,2019,33980,Automatic,12928,Diesel,145,48.7,3
 E Class,2019,28980,Automatic,13504,Diesel,145,58.9,2
 E Class,2019,28980,Automatic,10156,Diesel,145,58.9,2
 C Class,2019,25980,Automatic,8999,Petrol,145,45.6,1.5
 C Class,2019,25980,Automatic,11412,Petrol,145,45.6,1.5
 C Class,2019,26000,Automatic,5046,Petrol,145,45.6,1.5
 C Class,2019,23780,Automatic,14663,Petrol,145,44.1,1.5
 C Class,2019,25000,Automatic,13169,Petrol,145,44.1,1.5
 E Class,2019,27980,Automatic,11085,Diesel,145,58.9,2
 E Class,2019,24480,Automatic,11998,Diesel,145,72.4,2
 S Class,2019,79980,Automatic,5000,Petrol,145,31.7,4
 A Class,2019,21980,Automatic,4015,Diesel,145,65.7,1.5
 A Class,2020,23980,Manual,287,Petrol,145,45.6,1.3
 A Class,2020,25980,Automatic,942,Diesel,145,56.5,2
 CLS Class,2019,35980,Automatic,7444,Diesel,145,48.7,2.9
 C Class,2019,19980,Automatic,14307,Petrol,145,46.3,1.5
 A Class,2019,18480,Automatic,17551,Diesel,145,65.7,1.5
 GLA Class,2019,21980,Automatic,12265,Diesel,145,67.3,2.1
 GLC Class,2019,28480,Automatic,5981,Diesel,145,41.5,2.1
 GLA Class,2018,22480,Automatic,17392,Diesel,145,56.5,2.1
 E Class,2018,31480,Automatic,5317,Diesel,145,57.7,2
 A Class,2019,20480,Automatic,10247,Diesel,145,65.7,1.5
 C Class,2018,27980,Automatic,13199,Diesel,145,57.7,2
 GLE Class,2016,26980,Automatic,35162,Diesel,260,42.8,3
 E Class,2017,23480,Automatic,16635,Diesel,145,65.7,2
 E Class,2017,24480,Automatic,17636,Diesel,145,65.7,2
 B Class,2018,16480,Manual,3295,Petrol,145,49.6,1.6
 E Class,2019,30980,Automatic,4831,Diesel,145,61.4,2
 C Class,2019,29980,Automatic,4616,Diesel,145,57.7,2
 E Class,2019,38480,Automatic,136,Diesel,145,48.7,3
 SL CLASS,2019,49480,Automatic,6116,Petrol,145,36.7,3
 E Class,2019,25980,Automatic,10778,Diesel,145,72.4,2
 B Class,2019,18000,Manual,4429,Petrol,145,49.6,1.6
 CLS Class,2016,23480,Automatic,31310,Diesel,160,51.4,3
 E Class,2018,24480,Automatic,12833,Diesel,145,61.4,2
 C Class,2019,30980,Automatic,3254,Diesel,145,57.7,2
 C Class,2019,29980,Automatic,6073,Diesel,145,57.7,2
 C Class,2019,29980,Automatic,9454,Diesel,145,57.7,2
 C Class,2020,65980,Automatic,3999,Petrol,145,28,4
 GLE Class,2020,48980,Automatic,3999,Diesel,145,36.7,2
 GLC Class,2020,39980,Automatic,3999,Petrol,145,32.1,2
 C Class,2019,29500,Automatic,10939,Petrol,145,44.1,1.5
 C Class,2019,29980,Automatic,9782,Diesel,145,54.3,2
 C Class,2019,26980,Automatic,6584,Petrol,145,47.1,1.5
 E Class,2019,45980,Automatic,10491,Petrol,145,32.5,3
 A Class,2019,18480,Automatic,17131,Diesel,145,65.7,1.5
 C Class,2019,24480,Automatic,13314,Diesel,145,58.9,2
 GLA Class,2019,22480,Automatic,12623,Diesel,145,67.3,2.1
 GLE Class,2016,32480,Automatic,18173,Diesel,260,42.8,3
 GLA Class,2017,20480,Automatic,26999,Diesel,145,56.5,2.1
 E Class,2015,17980,Automatic,25615,Diesel,125,61.4,2.1
 GLA Class,2017,19980,Automatic,25912,Diesel,125,56.5,2.1
 E Class,2017,20980,Automatic,32106,Diesel,145,65.7,2
 GLE Class,2017,29480,Automatic,28699,Diesel,145,42.8,3
 GLE Class,2017,27980,Automatic,35393,Diesel,145,42.8,3
 GLC Class,2019,31480,Automatic,9807,Diesel,145,56.5,2.1
 GLC Class,2018,32480,Automatic,11592,Diesel,145,56.5,2.1
 CL Class,2019,29980,Automatic,3999,Petrol,145,44.1,1.3
 C Class,2019,28980,Automatic,16543,Petrol,145,44.1,2
 GLC Class,2019,31980,Automatic,16212,Diesel,145,56.5,2.1
 A Class,2018,21780,Automatic,11034,Diesel,145,67.3,1.5
 M Class,2015,24480,Automatic,33059,Diesel,300,39.2,3
 GLC Class,2020,31980,Automatic,3999,Petrol,145,34,2
 GLC Class,2020,49980,Automatic,3999,Petrol,145,26.4,3
 GLC Class,2020,37980,Automatic,3999,Diesel,145,40.9,2
 GLE Class,2020,48980,Automatic,3999,Diesel,145,36.7,2
 C Class,2020,30980,Automatic,3999,Diesel,145,61.4,2
 GLC Class,2019,37980,Automatic,3999,Diesel,145,40.9,2
 CL Class,2020,27980,Automatic,3999,Petrol,145,44.8,1.3
 C Class,2019,45980,Automatic,2617,Petrol,145,29.7,3
 GLE Class,2020,48980,Automatic,3999,Diesel,145,36.7,2
 C Class,2020,38980,Automatic,3999,Petrol,145,28.3,3
 E Class,2019,25780,Automatic,15854,Diesel,145,72.4,2
 C Class,2019,25980,Automatic,13214,Petrol,145,46.3,1.5
 C Class,2019,26980,Automatic,7721,Petrol,145,46.3,1.5
 E Class,2019,25480,Automatic,5944,Diesel,145,72.4,2
 E Class,2019,25480,Automatic,13885,Diesel,145,72.4,2
 C Class,2019,25980,Automatic,13012,Petrol,145,46.3,1.5
 E Class,2019,25480,Automatic,14763,Diesel,145,72.4,2
 C Class,2018,21980,Automatic,8024,Diesel,145,60.1,2.1
 C Class,2019,31480,Automatic,7524,Diesel,145,57.7,2
 E Class,2019,29480,Automatic,7859,Diesel,145,61.4,2
 C Class,2015,10700,Automatic,58724,Diesel,145,53.3,2.1
 E Class,2014,13291,Automatic,66416,Diesel,205,47.1,3
 C Class,2018,23890,Automatic,8194,Diesel,145,64.2,2
 C Class,2017,18481,Automatic,20179,Diesel,145,61.4,2.1
 C Class,2013,8751,Automatic,91046,Diesel,150,53.3,2.1
 GLC Class,2018,29991,Automatic,18976,Diesel,150,47.9,3
 A Class,2013,11490,Automatic,16139,Petrol,125,52.3,1.6
 E Class,2016,17990,Automatic,16503,Diesel,20,72.4,2
 A Class,2019,20990,Automatic,15762,Diesel,145,67.3,1.5
 A Class,2017,15718,Manual,32365,Petrol,125,51.4,1.6
 C Class,2014,13390,Automatic,43793,Petrol,125,52.3,2
 GLE Class,2016,25340,Automatic,34895,Diesel,200,47.9,2.1
 A Class,2014,16860,Automatic,20011,Petrol,145,45.6,2
 M Class,2014,18490,Automatic,46556,Diesel,200,44.8,2.1
 E Class,2016,14891,Automatic,60787,Diesel,125,60.1,2.1
